1	1	15.625944	0.635698	-0.066705	0.002978
1	2	18.502057	0.154887	0.004981	0.000230
1	3	18.287556	0.389745	-0.033467	0.001861
1	4	17.987477	0.213284	-0.003037	0.000516
1	5	7.181409	0.880213	-0.095796	0.003857
1	6	16.542917	0.254260	-0.007944	0.000654
1	7	15.438419	0.570573	-0.060881	0.002868
1	8	16.917565	0.210243	-0.001173	0.000405
2	1	18.357610	0.320900	-0.023616	0.001540
2	2	12.121441	0.716811	-0.076528	0.003289
2	3	11.857021	0.721049	-0.077501	0.003343
2	4	16.154283	0.522242	-0.052954	0.002614
2	5	8.864811	0.773594	-0.081087	0.003369
2	6	13.632867	0.652104	-0.066099	0.002829
2	7	8.886277	0.752758	-0.078318	0.003220
2	8	6.864680	0.765215	-0.078832	0.003237
3	1	12.933612	0.631338	-0.064025	0.002817
3	2	17.237052	0.432555	-0.041695	0.002214
3	3	8.447194	0.810323	-0.086731	0.003554
3	4	19.922360	0.265075	-0.012080	0.000958
3	5	13.785755	0.591896	-0.059327	0.002723
3	6	12.791346	0.693186	-0.073310	0.003145
3	7	8.426557	0.770545	-0.081104	0.003358
3	8	9.791614	0.702307	-0.072246	0.003051
4	1	9.306851	0.760339	-0.079945	0.003331
4	2	14.274312	0.613096	-0.062476	0.002834
4	3	11.611626	0.712401	-0.074605	0.003172
4	4	15.415305	0.580258	-0.058735	0.002731
4	5	6.482747	0.847060	-0.090957	0.003688
4	6	16.378997	0.465603	-0.044623	0.002269
4	7	6.446234	0.822366	-0.086715	0.003504
4	8	10.453240	0.742364	-0.078712	0.003310
5	1	8.425183	0.794094	-0.082531	0.003377
5	2	14.929436	0.594624	-0.057627	0.002556
5	3	17.998648	0.431503	-0.038782	0.002050
5	4	14.707085	0.651505	-0.068429	0.003047
5	5	12.281985	0.688469	-0.071464	0.003059
5	6	6.955905	0.859980	-0.091869	0.003665
5	7	11.982010	0.753582	-0.082251	0.003488
5	8	7.921031	0.805790	-0.084517	0.003371
