1	1	0.175394	0.052143
1	2	0.585418	0.042607
1	3	0.353212	0.049104
1	4	0.609221	0.042159
1	5	0.224285	0.052316
1	6	0.793216	0.038816
1	7	0.251317	0.053098
1	8	0.629872	0.041927
2	1	0.402723	0.048867
2	2	0.359577	0.049769
2	3	0.353066	0.050256
2	4	0.396823	0.049420
2	5	0.427949	0.048302
2	6	0.243206	0.050754
2	7	0.414745	0.049160
2	8	0.524883	0.047295
3	1	0.333725	0.050033
3	2	0.342110	0.050926
3	3	-0.693147	0.000000
3	4	0.092439	0.051918
3	5	0.419511	0.048671
3	6	0.143676	0.054048
3	7	0.423946	0.049233
3	8	0.476657	0.048339
4	1	0.345029	0.050269
4	2	0.332153	0.049667
4	3	0.366159	0.049179
4	4	0.358950	0.048881
4	5	0.435074	0.048784
4	6	0.374191	0.049981
4	7	0.404027	0.049281
4	8	0.390176	0.049559
5	1	0.299585	0.049747
5	2	0.259923	0.049658
5	3	0.342833	0.048464
5	4	0.235155	0.050687
5	5	0.285383	0.050669
5	6	0.182868	0.053258
5	7	0.129086	0.054417
5	8	0.212042	0.052747
