1	1	195730.52221550	-128204.53505547	27561.58530099	-2298.46751864	103.42770784	-2.40250673	0.02262492
1	2	43141.66173642	-33198.73252012	7190.51113059	-456.88753130	23.23938698	-0.38473569	-0.00156719
1	3	150326.47599000	-93692.79405268	18865.67890602	-1414.22203930	57.23616113	-1.18154876	0.00970713
1	4	115660.78230247	-82979.11032325	20565.69668172	-2272.45969152	153.34604446	-5.12632169	0.06732370
1	5	206531.96704136	-139564.83447932	31454.24238545	-2853.06981774	140.45575985	-3.57515065	0.03684691
1	6	151749.82249529	-107957.74163893	27183.43979599	-3156.47439161	217.53497502	-7.41467435	0.09896559
1	7	176275.16038484	-125654.07818901	29068.91558574	-2565.86100088	121.39873069	-2.94397769	0.02874194
1	8	72831.08079780	-52258.28437733	12101.97422594	-1113.13958933	68.62056744	-1.98564209	0.02110722
2	1	202333.12896057	-119783.62821681	23992.28456022	-1983.58719677	89.11425447	-2.06850476	0.01946862
2	2	152806.63763985	-97325.50067798	19980.99607885	-1514.51594878	62.53098045	-1.33435858	0.01151194
2	3	148085.63861565	-95985.39319140	20157.88251147	-1573.64537361	66.13001063	-1.41103286	0.01190388
2	4	129047.04046364	-85037.48244866	18205.31017102	-1488.72475177	66.64124456	-1.55204411	0.01473943
2	5	143121.03388670	-89906.31086282	18458.45226108	-1440.66075557	61.87399702	-1.38837760	0.01277300
2	6	164626.02446682	-102111.53910808	19666.32095652	-1228.19550778	36.22640524	-0.35231713	-0.00196022
2	7	196551.63029818	-124674.94339828	25887.75403278	-2056.51204247	89.69212528	-2.03374400	0.01874444
2	8	176851.72938098	-96954.67062572	16777.77821262	-937.77413062	20.47337511	0.06062818	-0.00595331
3	1	161939.47381625	-102552.16174214	21056.51298589	-1608.42683261	67.44250655	-1.47144171	0.01306254
3	2	135476.77621613	-92254.98137310	20158.34522908	-1632.27249778	71.99365455	-1.63513070	0.01495158
3	3	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3	4	124925.48518960	-85221.53454926	18548.30487523	-1470.05257984	64.05731815	-1.46748353	0.01389445
3	5	117189.56951241	-72649.41052671	14349.49755235	-999.15145917	36.75274889	-0.66441999	0.00447227
3	6	232205.38184118	-161235.52823809	37235.95059814	-3444.37930685	172.10609555	-4.43986080	0.04636730
3	7	146201.48045196	-94758.93689675	19795.06257593	-1530.76875949	64.51100326	-1.39645564	0.01209113
3	8	159219.36620794	-99106.48472598	19724.51589845	-1402.11331700	52.70717160	-0.97221000	0.00657886
4	1	120135.08852449	-79124.21987634	16447.74990132	-1174.14953649	43.41564375	-0.75490364	0.00432045
4	2	147311.10360150	-93981.39868534	19643.16388231	-1578.98421545	69.22567098	-1.56787618	0.01436465
4	3	189787.67126482	-121276.80446683	25782.89674647	-2185.51025492	103.20418656	-2.56276696	0.02609580
4	4	176937.14918462	-110014.38828821	22816.27310960	-1897.92488675	86.46285538	-2.04247747	0.01957574
4	5	131520.22453280	-88526.12963840	18953.73628715	-1474.72971966	62.41526665	-1.36082850	0.01195841
4	6	162009.18733408	-103658.21798953	21538.35607699	-1684.57634793	70.42890549	-1.49442336	0.01258681
4	7	150903.68080975	-98176.29350359	20640.07356295	-1602.26121799	67.34945925	-1.44550270	0.01233828
4	8	222444.05952323	-142909.00785402	30536.18601203	-2610.80676079	121.11458163	-2.89436542	0.02789385
5	1	154594.58566988	-95188.53016119	19207.13247397	-1472.26260751	61.29248054	-1.32148976	0.01157842
5	2	162043.20920750	-97548.89809041	18480.82954577	-1173.91274861	32.83670346	-0.18996623	-0.00485313
5	3	157505.95344143	-97912.39865326	19871.60942121	-1535.80804203	63.70875264	-1.33799456	0.01104776
5	4	197621.68041033	-129741.95208637	28288.16787503	-2460.48639703	116.11448762	-2.84392932	0.02840693
5	5	166237.38000952	-108193.10203980	22665.97105406	-1737.80735320	70.45358461	-1.42050774	0.01095001
5	6	178639.85191950	-119780.21029865	26162.55840325	-2162.28436619	96.37701654	-2.20969515	0.02044814
5	7	206739.14003921	-146454.47114360	34361.43952934	-3187.90758144	158.74035607	-4.04997177	0.04153925
5	8	228240.22789172	-157086.17894363	35214.02912018	-3015.85472561	139.83491730	-3.35539873	0.03270637
