-62.302039	6.136844	-0.194128	0.002777	-0.000015
-46.720936	4.953073	-0.160469	0.002355	-0.000013
-68.947123	6.994064	-0.230588	0.003412	-0.000019
-43.120527	4.583736	-0.146841	0.002137	-0.000012
-36.423006	3.634050	-0.103987	0.001357	-0.000007
-31.942968	3.553183	-0.111269	0.001600	-0.000009
-61.015088	6.370995	-0.211005	0.003139	-0.000017
-33.643915	3.741632	-0.118968	0.001732	-0.000009
-76.084347	7.927653	-0.271332	0.004143	-0.000024
-47.173721	4.866884	-0.153533	0.002197	-0.000012
-46.211642	4.811586	-0.152354	0.002186	-0.000012
-55.134047	5.717076	-0.186365	0.002736	-0.000015
-30.190043	3.232241	-0.096004	0.001312	-0.000007
-39.478253	3.929523	-0.114766	0.001531	-0.000008
-33.824932	3.705752	-0.115254	0.001641	-0.000009
-24.079058	2.845270	-0.087319	0.001240	-0.000007
-41.632913	4.433992	-0.141246	0.002049	-0.000011
-69.001273	7.224027	-0.244393	0.003697	-0.000021
-38.317201	4.021079	-0.123380	0.001727	-0.000009
-66.520121	6.468994	-0.205039	0.002939	-0.000016
-40.982319	4.370082	-0.139341	0.002021	-0.000011
-40.847089	4.149585	-0.124693	0.001711	-0.000009
-31.893708	3.516929	-0.108760	0.001542	-0.000008
-31.597973	3.564078	-0.112481	0.001627	-0.000009
-34.008540	3.659251	-0.112400	0.001581	-0.000008
-45.043611	4.653958	-0.146708	0.002104	-0.000011
-40.964565	4.257651	-0.131621	0.001854	-0.000010
-51.783001	5.262787	-0.167120	0.002404	-0.000013
-34.772253	3.735472	-0.114730	0.001610	-0.000009
-58.750869	6.207320	-0.207935	0.003131	-0.000018
-29.767742	3.277595	-0.099246	0.001381	-0.000007
-39.017473	4.137537	-0.128941	0.001833	-0.000010
-27.656480	2.908745	-0.083310	0.001108	-0.000006
-39.426435	3.919006	-0.115829	0.001572	-0.000008
-62.134584	6.209117	-0.199045	0.002872	-0.000016
-51.744576	5.124661	-0.158161	0.002214	-0.000012
-41.232899	4.283284	-0.132789	0.001879	-0.000010
-32.624531	3.318791	-0.094174	0.001223	-0.000006
-46.959944	4.721130	-0.144208	0.002000	-0.000010
-34.099011	3.590551	-0.106833	0.001458	-0.000008
